HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00328991; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328991,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00094832; Desligado - 1; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094832,OU=Novos Computadores,DC=transp,DC=biz
ES003256; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES003256,OU=UO-SUL,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00089522; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00089522,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00318732; Inexistente - 1; -; -; -; -; -
NO00070127; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070127,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00089539; Inexistente - DNS_ERRO; -; -; -; -; -
NO00051611; Inexistente - DNS_ERRO; -; -; -; -; -
MI00278551; Inexistente - DNS_ERRO; -; -; -; -; -
NO00081505; Inexistente - DNS_ERRO; -; -; -; -; -
ES00008943; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008943,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00285996; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00285996,OU=OFFSHORE,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
NO00081834; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00081834,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00328994; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328994,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00328992; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328992,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00325430; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325430,OU=SAO CAETANO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00329474; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00329474,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00066212; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00066212,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00261875; Inexistente - 1; -; -; -; -; -
MI00317993; Inexistente - 1; -; -; -; -; -
MI00283717; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283717,OU=UO-AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
MI00300646; Inexistente - 1; -; -; -; -; -
MI00328993; Ligado - 0; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328993,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
