HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00085903; Inexistente; -; -; -; -; -
NO00066390; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00066390,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00067884; Inexistente; -; -; -; -; -
MI00238776; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00238776,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
MI00257104; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00257104,OU=RH-UP,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00283569; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00283569,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00255720; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00255720,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00326977; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=MI00326977,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
NO00056759; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00056759,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091513; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091513,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00320488; Inexistente; -; -; -; -; -
NO00091493; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091493,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091491; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091491,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091332; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091332,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
TPLTVIRTUAL1; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=TPLTVIRTUAL1,OU=TEMPLATES,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00061610; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00061610,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00054604; Inexistente; -; -; -; -; -
NO00068783; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00068783,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
