HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00322135; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00322135,OU=ALEMOA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00072405; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072405,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00325688; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325688,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00068657; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068657,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094427; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094427,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00294636; Inexistente; -; -; -; -; -
MI00295000; Inexistente; -; -; -; -; -
MI00294432; Inexistente; -; -; -; -; -
MI00295126; Inexistente; -; -; -; -; -
MI00301486; Inexistente; -; -; -; -; -
MI00326083; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00326083,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00321659; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321659,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00237585; Inexistente; -; -; -; -; -
NO00079019; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079019,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00324028; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00324028,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00317049; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317049,OU=BARUERI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00206786; Inexistente; -; -; -; -; -
NO00073078; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00073078,OU=TA-Manaus,OU=TIC-AM,OU=Notebooks,DC=transp,DC=biz
MI183555; Inexistente; -; -; -; -; -
MI00324942; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00324942,OU=TA-Belem,OU=TIC-AM,OU=Desktops,DC=transp,DC=biz
MI00324887; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00324887,OU=TA-Manaus,OU=TIC-AM,OU=Desktops,DC=transp,DC=biz
NO00094699; Inexistente; -; -; -; -; -
